OBJECTID,ID,LENGTH,DIR,LINKNUM,ANODE,BNODE,LINKNAME,RIVERNAME,AMILE,BMILE,LENGTH1,LENGTH_SRC,SHAPE_SRC,LINKTYPE,CTRL_DEPTH,WATERWAY,GEO_CLASS,FUNC_CLASS,WTWY_TYPE,CHART_ID,NUM_PAIRS,WHO_MOD,DATE_MOD,HEADING,STATE,FIPS,FIPS2,NON_US,SE_ANNO_CAD_DATA,KEY_ID,WTWY_UNIQ,MIN_MEAS,MAX_MEAS,SHAPE_Length
2215,349074,6.052723,0,380900,5950,11080,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,1728,1724,6.05000019,V,JR,CORPS,99,9100,O,D,5,13200,2,V A,01201997,S,XX,99,00,AT,,380900_9100-R2-1002,9100-R2-1002,332.5596,338.5434,0.0940764187242182
2216,155092,14.912739,0,317500,6990,5420,GULF SHALLOW WATER SPINE ACCESS,FLORIDA SHALLOW WATER ACCESS,11,0,14.90999985,V,JR,CORPS,99,9153,O,U,5,11400,2,V A,01201997,W,FL,12,00, ,,317500_9153-R2-1014,9153-R2-1014,0,14.37489812,0.244583213450399
2217,311600,1.816645,0,3001000,16190,301220,"BULKHEAD SHOAL CHANNEL, DE",BULKHEAD SHOAL CHANNEL,0,0,1.82000005,V,DN,VANDERBILT,-1,7392,I,B,8,12311,3,V1,05241994,W,DE,10,00, ,,3001000_7392-R2-1000,7392-R2-1000,0,1.74687309,0.031538176167154
2218,362138,5.625258,0,284700,2840,9520,"CASCO BAY, ME ACCESS, ME",CASCO BAY,13,0,5.63000011,V,JR,CORPS,10,9112,I,B,1,13290,2,R, ,S,ME,23,00, ,,284700_9112-R2-1011,9112-R2-1011,0,5.57752227,0.0866005772221584
2219,339940,3.17653,0,396900,12750,12740,"WEST RIVER, CT",WEST RIVER,7,0,3.1500001,V,DD,CORPS,25,60,I,B,6, ,18,V,04051995,S,CT,09,00, ,,396900_60-R2-1,60-R2-1,0,3.29319632,0.0587385526253867
2220,292159,2.799413,0,3008200,303030,303040,"EASTERN BRANCH, VA","ELIZABETH RIVER, EASTERN BRANCH",5,0,2.79999995,V,DD,VANDERBILT,25,670,I,S,6, ,5,V A,03211996,W,VA,51,00, ,,3008200_670-R2-1,670-R2-1,0,2.81838708,0.0525781913723177
2221,373278,1.397948,0,219000,37160,37130,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,2201,2199,1.39999998,V,JR,CORPS,99,9100,O,D,5,13006,2,V A,01201997,W,XX,99,00,AT,,219000_9100-R2-1002,9100-R2-1002,652.3221,653.6505,0.0270168697707789
2222,296318,103.67997,0,467400,19700,19690,"PAMUNKEY RIVER, VA",PAMUNKEY RIVER,53,0,103.68000031,V,DD,CORPS,7,649,I,S,6, ,418,V,09301994,E,VA,51,00, ,,467400_649-R2-1,649-R2-1,0,104.85858806,1.79072526517539
2223,358511,28.962831,0,370600,10060,10050,ATLANTIC DEEP WATER SPINE ACCESS,ATLANTIC DEEP WATER ACCESS,6,0,28.95999908,V,JR,CORPS,99,9101,O,D,5,13282,2,V A,01201997,E,XX,99,00,AT,,370600_9101-R2-1075,9101-R2-1075,0,27.20945829,0.569767561428789
2224,339197,1.653675,0,2412600,241350,241310,"PORPOISE CH, NY",STONY BROOK HARBOR,0,0,1.64999998,V,VR,VANDERBILT,-1,7238,I,S,1,12364,5,R, ,E,NY,36,00, ,,2412600_7238-R2-1,7238-R2-1,0.5831,2.17948158,0.0294401327799037
2225,299372,1.15499,0,461400,19110,19090,"RAPPAHANNOCK RIVER, VA",RAPPAHANNOCK RIVER,31,29,1.14999998,V,JR,CORPS,12,623,I,S,6,12220,2, , ,E,VA,51,00, ,,461400_623-R2-1,623-R2-1,35.9968,37.1173,0.0191384693495353
2226,273517,20.074726,0,485003,31530,510181,"CAPE FEAR R ABOVE WILMINGTON, NC",CAPE FEAR RIVER,111,95.1,20.06999969,V, ,CORPS,25,843,I,S,6, ,40,V,01061997,S,NC,37,00, ,,485003_843-R2-1,843-R2-1,86.27990785,106.09672232,0.310857369743824
2227,366486,0.523754,0,251600,35580,35510,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,2104,2102,0.51999998,V,JR,CORPS,99,9100,O,D,5,13009,2,V A,01201997,W,XX,99,00,AT,,251600_9100-R2-1002,9100-R2-1002,570.5765,571.0765,0.00983477919822398
2228,363117,3.56616,0,361700,9140,19220,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,2038,2034,3.56999993,V,JR,CORPS,99,9100,O,D,5,13009,2,V A,01201997,W,XX,99,00,AT,,361700_9100-R2-1002,9100-R2-1002,540.6485,544.0434,0.0674934250827886
2229,153621,6.925179,0,324933,4840,273060,GULF DEEP WATER SPINE ACCESS,GULF DEEP WATER ACCESS,41,32.8,6.92999983,V,JR,CORPS,99,9151,O,D,5,0,2,V A,01201997,W,XX,99,00,GM,,324933_9151-R2-1003,9151-R2-1003,26.7724,33.48680487,0.111984950465268
2230,165274,4.976015,0,2725000,272190,272320,BANANA RIVER,BANANA RIVER,0,0,4.98000002,V,DD,VANDERBILT,-1,7219,I,S,6,11484,6,H,08081996,S,FL,12,00, ,,2725000_7219-R2-1,7219-R2-1,8.17562449,13.12254941,0.0722098512035012
2231,309780,6.077456,0,439800,16870,16850,"GUNPOWDER RIVER, MD",GUNPOWDER RIVER,5,3,6.07999992,V,JR,CORPS,17,1326,I,B,6,12273,4,R, ,S,MD,24,00, ,,439800_1326-R2-1,1326-R2-1,10.249,16.95568865,0.108724137716736
2232,318863,5.028438,0,624033,62310,225640,LAKE ONTARIO CANADIAN ACCESS,LAKE ONTARIO,18,13.1,5.03000021,V,JR,CORPS,40,3063,G,D,5,14800,2,V A,01201997,S,XX,99,00,CD,,624033_3063-R4-1013,3063-R4-1013,0,4.99010412,0.0770011766143888
2233,345837,12.330743,0,386300,11710,11930,ATLANTIC DEEP WATER SPINE ACCESS,ATLANTIC DEEP WATER ACCESS,14,6,12.32999992,V,JR,CORPS,99,9103,O,D,5,12300,3,V A,09132007,S,XX,99,00,AT,,386300_9103-R2-1000,9103-R2-1000,17.0815,29.05877018,0.208852500232369
2234,291078,1.595839,0,472110,303050,19820,"NORFOLK HARBOR, VA","ELIZABETH RIVER, SOUTHERN BRANCH",17.8,19.2,1.60000002,V,DD,CORPS,55,5735,I,B,1, ,4,V,02271996,S,VA,51,00, ,,472110_5735-R2-1,5735-R2-1,7.32025949,8.75420567,0.0217352389514275
2235,339797,0.959308,0,398300,12890,12870,"YELLOW MILL CH, CT",YELLOW MILL CHANNEL,2,0,0.94999999,V,JR,CORPS,18,64,I,S,8,12364,2, , ,S,CT,09,00, ,,398300_64-R2-1,64-R2-1,0,1.04613448,0.0165026417645439
2236,155136,16.637375,0,315800,5350,5360,GULF SHALLOW WATER SPINE,FLORIDA SHALLOW WATER SPINE,377,367,16.63999939,V,JR,CORPS,99,9152,O,D,5,11400,3,V A,01201997,S,FL,12,00, ,,315800_9152-R2-1000,9152-R2-1000,367.1365,383.50307065,0.25607443543472
2237,277366,119.498871,0,523900,35230,35280,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,975,871,119.5,V,JR,CORPS,99,9100,O,D,5,11009,2,V A,01201997,W,XX,99,00,AT,,523900_9100-R2-1000,9100-R2-1000,246.8804,362.6401,1.95071605130185
2238,281118,15.554001,0,477800,20690,20750,"IW-GOOSE CREEK ISLAND, NC",ATLANTIC INTRACOASTAL WATERWAY,150,165,15.55000019,V,JR,CORPS,12,5680,I,S,2,11548,9,R, ,S,NC,37,00, ,,477800_5680-R2-3,5680-R2-3,0,16.0988,0.252724295996431
2239,165268,0.398817,0,2725100,272220,272320,BANANA RIVER,BANANA RIVER ACCESS,0,0,0.38999999,V,VR,VANDERBILT,-1,0,I,S,6,11484,2,R, ,W,FL,12,00, ,,2725100_0-R2-1004,0-R2-1004,0,0.40024974,0.0065398536200718
2240,311644,2.190429,0,433820,302720,16170,"SALEM RIVER, NJ",SALEM RIVER,0,0,2.19000006,V,DD,CORPS,12,265,I,S,6,12311,3,V A,01201997,S,NJ,34,00, ,,433820_265-R2-1,265-R2-1,0,2.2495,0.0362272957791934
2241,275341,1.987563,0,485740,258630,258540,"IW, REAVES POINT, NC",ATLANTIC INTRACOASTAL WATERWAY,299.2,301.2,1.99000001,V,JR,CORPS,38,5680,I,B,8,11537,3,V,02061995,S,NC,37,00, ,,485740_5680-R2-1,5680-R2-1,4.0181,6.0180346,0.0293905638209415
2242,344249,16.398518,0,402800,12160,12050,ATLANTIC DEEP WATER SPINE ACCESS,ATLANTIC DEEP WATER ACCESS,6,0,16.39999962,V,JR,CORPS,99,9101,O,D,5,13205,2,V A,01201997,S,XX,99,00,AT,,402800_9101-R2-1041,9101-R2-1041,0,16.39844022,0.237642088053036
2243,280212,2.953104,0,478375,257030,20790,"NEUSE RIVER, NC",NEUSE RIVER,13.5,11,2.95000005,V,JR,CORPS,12,831,I,S,6,11552,2,V,02061995,E,NC,37,00, ,,478375_831-R2-1,831-R2-1,9.5347,12.39260919,0.0486194956294194
2244,364874,22.193796,0,277100,30010,30250,ATL DEEP WTR SPINE ACCESS,ATLANTIC DEEP WATER ACCESS,6,0,22.19000053,V,JR,CORPS,99,9101,O,U,5,13302,2,V A,01201997,S,XX,99,00,AT,,277100_9101-R2-1121,9101-R2-1121,0,22.13136804,0.328334057861489
2245,302481,8.151828,0,2532700,18380,253430,"RHODES PT TO TYLER CREEK, MD",CHESAPEAKE BAY,0,0,8.14999962,V,DD,VANDERBILT,-1,7124,I,B,6,12230,5,H,08051996,W,MD,24,00, ,,2532700_7124-R2-1000,7124-R2-1000,0,7.78195221,0.143102309777751
2246,308908,5.575988,0,2505800,250550,250650,"CRAIGHILL CHANNEL RANGE, MD",CHESAPEAKE BAY,0,0,5.57999992,V,VR,VANDERBILT,-1,7381,I,S,8,12278,4, , ,S,MD,24,00, ,,2505800_7381-R2-1,7381-R2-1,0,5.56905091,0.0813896845522658
2247,339828,10.625791,0,401900,13250,12820,"PT JEFFERSON HBR, NY",PORT JEFFERSON HARBOR,3,0,10.63000011,V,JR,CORPS,40,522,I,B,1,12354,3,R, ,N,NY,36,00, ,,401900_522-R2-1000,522-R2-1000,0,10.55452451,0.159993520816791
2248,277353,0.865643,0,519700,35010,35020,"VISTA, NC, OF AIWW",ATLANTIC INTRACOASTAL ACCESS,0,0,0.86000001,V,JR,CORPS,-1,9101,I,S,7,0,2, , ,W,NC,37,00, ,,519700_9101-R2-1010,9101-R2-1010,0,0.82437976,0.0149276923991023
2249,371645,20.964579,0,354700,8490,8480,ATL DEEP WTR SPINE ACCESS,ATLANTIC DEEP WATER ACCESS,6,0,20.95999908,V,JR,CORPS,99,9101,O,D,5,13312,2,V A,01201997,S,XX,99,00,AT,,354700_9101-R2-1172,9101-R2-1172,0,20.96459998,0.303642330866841
2250,324561,13.208397,0,517100,34750,34760,"CHINCOTEAGUE BAY, MD AND VA",MARYLAND INTRACOASTAL WATERWAY,21,0,13.21000004,V,JR,CORPS,5,730,I,S,1,0,2, , ,S,MD,24,00, ,,517100_730-R2-1000,730-R2-1000,0,13.00761655,0.206250205019997
2251,161048,9.662714,0,348100,5610,6130,FLA ATL SHALLOW WATER SPINE ACCESS,FLORIDA SHALLOW WATER ACCESS,0,11,9.65999985,V,JR,CORPS,20,9157,O,D,5,11466,2,V A,01201997,W,FL,12,00, ,,348100_9157-R2-1004,9157-R2-1004,0,9.39401183,0.155297817888783
2252,329935,23.30337,0,424200,15330,15530,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,1404,1375,23.29999924,V,JR,CORPS,99,9100,O,D,5,12300,2,V A,01201997,S,XX,99,00,AT,,424200_9100-R2-1000,9100-R2-1000,801.9828,825.2837,0.337996598831043
2253,341406,3.161427,0,2405500,240560,240540,"CUTCHOGUE HBR, NY",CUTCHOGUE HARBOR,0,0,3.16000009,V,VR,VANDERBILT,-1,529,I,S,1,12354,4,R, ,S,NY,36,00, ,,2405500_529-R2-1002,529-R2-1002,0,3.08532924,0.0530231252730538
2254,368047,2.475012,0,355200,36650,8600,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER ACCESS,2149,2145,2.48000002,V,JR,CORPS,99,9100,O,D,5,13009,2,V A,01201997,W,XX,99,00,AT,,355200_9100-R2-1002,9100-R2-1002,606.0234,608.387,0.0465940296227841
2255,357646,3.658508,0,378800,10860,10920,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,1778,1774,3.66000009,V,JR,CORPS,99,9100,O,D,5,13267,2,V A,01201997,E,XX,99,00,AT,,378800_9100-R2-1002,9100-R2-1002,386.0126,389.4751,0.0694903328771517
2256,154621,11.276844,0,317700,4870,5430,GULF SHALLOW WATER SPINE ACCESS,FLORIDA SHALLOW WATER ACCESS,11,0,11.27999973,V,JR,CORPS,99,9153,O,D,5,11412,2,V A,01201997,W,FL,12,00, ,,317700_9153-R2-1013,9153-R2-1013,0,10.874022,0.184779067598657
2257,289615,5.770435,0,473400,20340,20330,"NEWBEGUN CREEK, NC",NEWBEGUN CREEK,5,0,5.76999998,V,DN,CORPS,5,806,I,S,6, ,29,V2,06301994,E,NC,37,00, ,,473400_806-R2-1,806-R2-1,0,5.55987161,0.0977676257220788
2258,360592,28.084173,0,367900,9800,9790,"ATL. DEEP WTR. SPINE ACCESS, ME",ATLANTIC DEEP WATER ACCESS,6,0,28.07999992,V,JR,CORPS,99,9101,O,D,5,13286,2,V A,01201997,E,XX,99,00,AT,,367900_9101-R2-1083,9101-R2-1083,0,26.38655503,0.556156998735406
2259,293829,5.499218,0,464966,254590,19340,"KING-S CREEK, NORTHAMPTON CO.,VA",CHESAPEAKE BAY,1.2,0,5.5,V,JR,CORPS,6,611,I,S,6,12220,2,V,02061995,N,VA,51,00, ,,464966_611-R2-1000,611-R2-1000,0,5.39075904,0.0872735399498357
2260,332328,0.816133,0,2427700,32470,242760,"WARD POINT SECONDARY CH, NY",RARITAN BAY,0,0,0.81,V,VR,VANDERBILT,-1,7109,I,B,1,12327,3,V A,01201997,E,NJ,34,00, ,,2427700_7109-R2-1,7109-R2-1,0,0.80547665,0.0147835414738819
2261,174458,2.08536,0,2720000,271760,6540,NASSAU RIVER,NASSAU RIVER,0,0,2.08999991,V,VR,VANDERBILT,-1,7359,I,S,6,11488,3,R, ,E,FL,12,00, ,,2720000_7359-R2-1,7359-R2-1,0,1.63020154,0.0274574618290168
2262,287104,2.333174,0,470320,467000,20020,"TYLERS BEACH, VA",BURWELL BAY,2,0,2.32999992,V,JR,CORPS,6,679,I,S,6,12220,2,V1,02171998,E,VA,51,00, ,,470320_679-R2-1,679-R2-1,0,2.1998,0.0422187168961268
2263,351527,25.944403,0,505020,300700,300710,"CHAMPLAIN CANAL, NY",CHAMPLAIN CANAL,37.5,10.6,25.94000053,V,DD,CORPS,15,540,I,S,6, ,87,V,11101994,S,NY,36,00, ,,505020_540-R2-1,540-R2-1,24.45529603,50.38198844,0.413666863690765
2264,362307,16.03013,0,364200,9430,9420,"ATL. DEEP WTR. SPINE ACCESS, ME",ATLANTIC DEEP WATER ACCESS,6,0,16.03000069,V,JR,CORPS,99,9101,O,D,5,13288,2,V A,01201997,S,XX,99,00,AT,,364200_9101-R2-1097,9101-R2-1097,0,15.51967478,0.282214814509728
2265,347233,3.760488,0,2385800,238610,11630,"MEGANSETT HARBOR, BUZZARDS BAY, MA",MEGANSETT HARBOR,0,0,3.75999999,V,VR,VANDERBILT,-1,7287,I,B,1,13229,3,R, ,W,MA,25,00, ,,2385800_7287-R2-1000,7287-R2-1000,0,3.56333369,0.0705059569571922
2266,299266,5.930705,0,462200,19190,19170,"RAPPAHANNOCK RIVER, VA",RAPPAHANNOCK RIVER,43,40,5.92999983,V,JR,CORPS,12,623,I,S,6,12220,3,V1,05261994,S,VA,51,00, ,,462200_623-R2-1,623-R2-1,45.60700693,52.25083098,0.108577949280196
2267,275697,15.440649,0,485600,31560,31520,"WILMINGTON HARBOR, NC",CAPE FEAR RIVER,34,17,15.43999958,V,JR,CORPS,35,847,I,B,6,0,17, , ,S,NC,37,00, ,,485600_847-R2-2,847-R2-2,0,15.7486953,0.235083252406825
2268,317359,7.187995,0,621633,62060,225460,LAKE ERIE AMERICAN SPINE ACCESS,LAKE ERIE,14,4.6,7.19000006,V,JR,CORPS,60,3291,G,D,5,14820,2, , ,S,NY,36,00, ,,621633_3291-R4-1019,3291-R4-1019,0,7.15924233,0.107035741694095
2269,366499,1.470429,0,249600,35700,36040,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,2108,2106,1.47000003,V,JR,CORPS,99,9100,O,D,5,13009,2,V A,01201997,W,XX,99,00,AT,,249600_9100-R2-1002,9100-R2-1002,572.4659,573.8689,0.0276723418730873
2270,358493,3.966822,0,371700,11510,10170,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,1834,1829,3.97000003,V,JR,CORPS,99,9100,O,D,5,13278,2,V A,01201997,S,XX,99,00,AT,,371700_9100-R2-1002,9100-R2-1002,438.3287,442.2531,0.061676273021151
2271,154461,39.142914,0,322800,4850,7150,GULF DEEP WATER SPINE,GULF DEEP WATER SPINE,192,147,39.13999939,V,JR,CORPS,99,9150,O,D,5,0,2,V A,01201997,S,XX,99,00,GM,,322800_9150-R2-1000,9150-R2-1000,260.0739,299.2065,0.569040923396836
2272,339259,6.863148,0,390900,11530,12910,BLACK ROCK SPINE ACCESS,BLACK ROCK,6,0,6.86000013,M,DD,CORPS,50,75,O,D,5, ,0,W,09012010,W,CT,09,00, ,,390900_75-R2-1000,75-R2-1000,0,6.84667775,0.10096209507731
2273,277035,3.148105,0,524400,35270,30510,"OFFSHORE, MASONBORO INLET, NC",ATLANTIC DEEP WATER SPUR,0,0,3.1500001,V,JR,CORPS,14,1801,O,U,5,11539,2, , ,W,NC,37,00, ,,524400_1801-R2-1000,1801-R2-1000,0,3.0408352,0.0519606487714771
2274,304760,2.629725,0,453900,18050,18320,"TANGIER SOUND, MD ACCESS",TANGIER SOUND,3,0,2.63000011,V,JR,CORPS,15,9106,I,S,1,12230,2,R, ,S,MD,24,00, ,,453900_9106-R2-1,9106-R2-1,0,2.5829,0.041529502398014
2275,294753,4.67486,0,519800,38040,35030,"DELAWARE BAY WATERWAY, VA",VIRGINIA INTRACOASTAL WATERWAY,46,42,4.67000008,V,DD,CORPS,6,600,I,S,8,12200,5,H,08051996,S,VA,51,00, ,,519800_600-R2-1001,600-R2-1001,0,4.5754,0.0744812297076065
2276,308360,0.625335,0,440246,251190,251160,"BALTIMORE HARBOR AND CHANNELS, MD",PATAPSCO RIVER,0,0,0.62,V,JR,CORPS,50,700,I,B,1,12281,2,V,02081995,S,MD,24,00, ,,440246_700-R2-1,700-R2-1,12.6467,13.2574,0.0101858831199294
2277,153302,96.213539,0,347400,5580,5560,FLA ATLANTIC SHALLOW WATER SPINE,FLORIDA SHALLOW WATER SPINE,145,48,96.20999908,V,JR,CORPS,20,9156,O,D,5,11450,8,V A,01201997,W,FL,12,00, ,,347400_9156-R2-1000,9156-R2-1000,43.8735,138.9496,1.46790991198916
2278,368072,1.598192,0,226600,36710,36680,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER ACCESS,2157,2155,1.60000002,V,JR,CORPS,99,9100,O,D,5,0,2,V A,01201997,W,XX,99,00,AT,,226600_9100-R2-1002,9100-R2-1002,615.7592,617.2875,0.0299463421277191
2279,291794,2.14889,0,469810,19980,465000,"DEEP CREEK, NEWPORT NEWS, VA",DEEP CREEK,3,1.7,2.1500001,V,DD,CORPS,8,660,I,S,6,12220,5,V,02171998,S,VA,51,00, ,,469810_660-R2-1,660-R2-1,0.11361014,2.3106,0.0348034493803342
2280,351056,6.572572,0,416210,34610,300690,"HUDSON RIVER, NY, MO OF SPUYTEN DUY",HUDSON RIVER,153,145.7,6.57000017,V,DD,CORPS,32,5303,I,S,6, ,13,V,11071994,S,NY,36,00, ,,416210_5303-R2-5,5303-R2-5,73.69089351,80.21644425,0.103073960585012
2281,349024,11.738923,0,291500,5940,5950,ATLANTIC DEEP WATER SPINE ACCESS,ATLANTIC DEEP WATER ACCESS,6,0,11.73999977,V,JR,CORPS,99,9101,O,U,5,13200,2,V A,01201997,E,XX,99,00,AT,,291500_9101-R2-1048,9101-R2-1048,0,11.03532854,0.226613798702197
2282,171793,25.645988,0,339500,6590,6580,"LAKE CRESCENT AND DUNNS CREEK, FL",LAKE CRESCENT,17,0,25.64999962,V,DD,CORPS,9,2101,I,S,6, ,79,V,03291995,W,FL,12,00, ,,339500_2101-R2-1,2101-R2-1,0,26.9782994,0.426587324321709
2283,274443,31.683716,0,485001,510170,510161,"CAPE FEAR R ABOVE WILMINGTON, NC",CAPE FEAR RIVER,70.9,39.1,31.68000031,V, ,CORPS,25,843,I,S,6, ,132,V,01061997,S,NC,37,00, ,,485001_843-R2-1,843-R2-1,33.33788603,63.88676991,0.506462770587482
2284,367957,12.701236,0,246400,36020,36010,ATL DEEP WTR SPINE ACCESS,ATLANTIC DEEP WATER ACCESS,6,0,12.69999981,V,JR,CORPS,99,9101,O,D,5,13312,2,V A,01201997,S,XX,99,00,AT,,246400_9101-R2-1160,9101-R2-1160,0,12.69265702,0.184936548377906
2285,293663,1.609835,0,2541400,254130,18670,"TABB-S CREEK, VA",TABBS CREEK,0,0,1.61000001,V,DD,VANDERBILT,-1,7213,I,S,6,12225,6,H,08051996,E,VA,51,00, ,,2541400_7213-R2-1000,7213-R2-1000,0,1.52590709,0.0288181976643442
2286,341318,3.499917,0,2405700,240610,240580,"GREAT PECONIC BAY, NY",GREAT PECONIC BAY,0,0,3.5,V,VR,VANDERBILT,-1,7257,I,S,1,12354,2,R, ,S,NY,36,00, ,,2405700_7257-R2-1003,7257-R2-1003,0,3.49968185,0.0507417008060042
2287,293472,1.505146,0,460100,18990,18970,"RAPPAHANNOCK RIVER, VA",RAPPAHANNOCK RIVER,16,14,1.50999999,V,JR,CORPS,12,623,I,S,6,12220,2, , ,E,VA,51,00, ,,460100_623-R2-1,623-R2-1,21.3664,22.7897,0.0271385519757772
2288,184917,1.267528,0,491700,32200,32120,"SHIPYARD RIVER, SC (INC IN CHS HBR)",SHIPYARD CREEK,2,0,1.26999998,V,DN,CORPS,38,861,I,B,6,11524,4,V R, ,E,SC,45,00, ,,491700_861-R2-1,861-R2-1,0,1.23523312,0.0205852134994264
2289,277224,6.847121,0,489100,35010,35070,"IW, SLOOP POINT, NC",ATLANTIC INTRACOASTAL WATERWAY,264,270,6.8499999,V,JR,CORPS,12,5680,I,S,2,11539,9,R, ,W,NC,37,00, ,,489100_5680-R2-1000,5680-R2-1000,23.94605215,30.57312969,0.112485581967008
2290,317912,3.393429,0,644000,62110,64280,"LAKE ERIE, INCLUDING UPPER NIAGARA",LAKE ERIE,0,0,3.3900001,V,JR,CORPS,30,3201,G,B,5,14822,4, , ,S,NY,36,00, ,,644000_3201-R4-1010,3201-R4-1010,0,3.35048362,0.0534120470586862
2291,367304,1.22882,0,248000,36050,35820,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,2120,2118,1.23000002,V,JR,CORPS,99,9100,O,D,5,13009,2,V A,01201997,W,XX,99,00,AT,,248000_9100-R2-1002,9100-R2-1002,580.6304,581.8039,0.0230653980582858
2292,360761,1.125342,0,365000,9420,9510,"ATLANTIC DEEP WATER SPINE, ME",ATLANTIC DEEP WATER SPINE,2002,1897,1.13,V,JR,CORPS,99,9100,O,B,5,13288,2,V A,01201997,W,XX,99,00,AT,,365000_9100-R2-1002,9100-R2-1002,509.6504,510.7146,0.0218678312563589
2293,367174,6.633131,0,251500,33820,35450,"PENOBSCOT BAY, ME ACCESS, ME",PENOBSCOT BAY,5,0,6.63000011,V,JR,CORPS,25,9114,O,B,5,13302,2,R, ,E,ME,23,00, ,,251500_9114-R2-1003,9114-R2-1003,0,6.40888384,0.118544123187319
2294,279923,1.542088,0,483400,30390,30400,"BEAUFORT HARBOR, NC",BEAUFORT INLET ACCESS,4,6,1.53999996,V,DD,CORPS,12,763,I,B,1,11543,5,H,08061996,S,NC,37,00, ,,483400_763-R2-1000,763-R2-1000,1.7971,3.39221543,0.0253656796197068
2295,365645,3.880674,0,361600,19750,9160,"MUSCONGUS BAY, ME ACCESS",MUSCONGUS BAY,3.9,0,3.9000001,M,DD,CORPS,99,9113,I,U,1, ,2,W,08232001,N,XX,99,00, ,,361600_9113-R2-1001,9113-R2-1001,0,3.83952414,0.060624475265873
2296,304555,4.803022,0,455470,253580,302690,"TANGIER CHANNEL, VA",TANGIER SOUND,1.9,0,4.80000019,V,JR,CORPS,12,605,I,S,8,12230,3,V,07131995,W,MD,24,00, ,,455470_605-R2-1,605-R2-1,0,4.748,0.0736962371122681
2297,301013,0.447158,0,440220,251270,251260,"BALTIMORE HARBOR AND CHANNELS, MD",PATAPSCO RIVER,0,0,0.44,V,DD,CORPS,50,700,I,B,1,12281,2,V,11251996,S,MD,24,00, ,,440220_700-R2-1,700-R2-1,14.5073,14.9439,0.00728589189046544
2298,161073,6.820096,0,348025,5610,273150,FLA-ATL SHALLOW WATER SPINE,FLORIDA SHALLOW WATER SPINE,185,177.9,6.82000017,V,JR,CORPS,20,9156,O,D,5,11009,2,V A,01201997,S,FL,12,00, ,,348025_9156-R2-1000,9156-R2-1000,171.1261,177.9462,0.0990732456330158
2299,373303,2.496692,0,218100,37250,37220,ATLANTIC DEEP WATER SPINE,ATLANTIC DEEP WATER SPINE,2209,2207,2.5,V,JR,CORPS,99,9100,O,D,5,13006,2,V A,01201997,W,XX,99,00,AT,,218100_9100-R2-1002,9100-R2-1002,659.8848,662.2416,0.0495356167403014
2300,292839,2.11158,0,465900,19550,19530,"YORK RIVER, VA",YORK RIVER,9,6,2.1099999,V,JR,CORPS,35,648,I,B,6,12220,2,R, ,E,VA,51,00, ,,465900_648-R2-1,648-R2-1,43.1377,45.1286,0.0382671164759239
2301,336208,22.521908,0,415810,300680,14680,"HUDSON RIVER, NY, MO of SPUTEN DUY",HUDSON RIVER,101,77.6,22.52000046,V,DD,CORPS,32,5303,I,S,6, ,13,V,09261995,S,NY,36,00, ,,415810_5303-R2-5,5303-R2-5,7.94586151,30.95301297,0.344551061973549
2302,357693,10.072164,0,373900,10390,10380,ATLANTIC DEEP WATER SPINE ACCESS,ATLANTIC DEEP WATER ACCESS,6,0,10.06999969,V,JR,CORPS,99,9101,O,D,5,13267,2,V A,01201997,E,XX,99,00,AT,,373900_9101-R2-1065,9101-R2-1065,0,9.4655784,0.196857901233752
2303,289009,1.66783,0,461000,19080,19070,"PARROTTS CREEK, VA",PARROTTS CREEK,2,0,1.66999996,V,JR,CORPS,6,627,I,S,6,12220,2, , ,E,VA,51,00, ,,461000_627-R2-1,627-R2-1,0,1.58142156,0.0298550659625398
2304,274928,20.245258,0,485000,510160,31540,"CAPE FEAR R ABOVE WILMINGTON, NC",CAPE FEAR RIVER,38.9,15,20.25,V,DD,CORPS,25,843,I,S,6,0,77,H,08061996,S,NC,37,00, ,,485000_843-R2-1,843-R2-1,13.29537107,33.04698702,0.33648417457422
2305,367262,17.154156,0,249100,35740,35730,ATL DEEP WTR SPINE ACCESS,ATLANTIC DEEP WATER ACCESS,6,0,17.14999962,V,JR,CORPS,99,9101,O,D,5,13302,2,V A,01201997,S,XX,99,00,AT,,249100_9101-R2-1157,9101-R2-1157,0,17.14944605,0.248999965882854
